date,totals
2014-02-01,51976
2014-02-01,13167
2014-02-01,17798
2014-02-01,259837
2014-02-01,28120
2014-02-01,7101
2014-02-01,18999
2014-02-01,16662
2014-02-01,35449
2014-02-01,40503
2014-02-01,21805
2014-02-01,48674
2014-02-01,10352
2014-02-01,6384
2014-02-01,11879
2014-02-01,10204
2014-02-01,7762
2014-02-01,13859
2014-02-01,27317
2014-02-01,224667
2014-02-01,6472
2014-02-01,59527
2014-02-01,33901
2014-02-01,23197
2014-02-01,76916
2014-02-01,1897
2014-02-01,28440
2014-02-01,7897
2014-02-01,55684
2014-02-01,147793
2014-02-01,21548
2014-02-01,3132
2014-02-01,42073
2014-02-01,44399
2014-02-01,23569
2014-02-01,31698
2014-02-01,5677
2014-03-01,57656
2014-03-01,7271
2014-03-01,28307
2014-03-01,20173
2014-03-01,137660
2014-03-01,38547
2014-03-01,36553
2014-03-01,3534
2014-03-01,48
2014-03-01,104835
2014-03-01,45841
2014-03-01,1333
2014-03-01,14322
2014-03-01,145597
2014-03-01,52880
2014-03-01,13686
2014-03-01,16410
2014-03-01,280948
2014-03-01,25477
2014-03-01,7591
2014-03-01,17071
2014-03-01,20176
2014-03-01,42636
2014-03-01,50582
2014-03-01,17334
2014-03-01,46051
2014-03-01,11045
2014-03-01,6437
2014-03-01,11769
2014-03-01,12519
2014-03-01,9726
2014-03-01,13550
2014-03-01,33819
2014-03-01,541978
2014-03-01,6329
2014-03-01,59244
2014-03-01,30087
2014-03-01,24346
2014-03-01,93402
2014-03-01,2208
2014-03-01,28436
2014-03-01,7538
2014-03-01,43344
2014-03-01,130310
2014-03-01,22924
2014-03-01,3305
2014-03-01,40700
2014-03-01,45491
2014-03-01,20942
2014-03-01,37199
2014-03-01,5699
2014-04-01,46332
2014-04-01,8305
2014-04-01,25939
2014-04-01,16546
2014-04-01,134448
2014-04-01,34615
2014-04-01,20715
2014-04-01,2822
2014-04-01,36
2014-04-01,94323
2014-04-01,36533
2014-04-01,1597
2014-04-01,10422
2014-04-01,105924
2014-04-01,42399
2014-04-01,10404
2014-04-01,13161
2014-04-01,274155
2014-04-01,19656
2014-04-01,6890
2014-04-01,10548
2014-04-01,16097
2014-04-01,36618
2014-04-01,46067
2014-04-01,13044
2014-04-01,38283
2014-04-01,10056
2014-04-01,5240
2014-04-01,9819
2014-04-01,11592
2014-04-01,8472
2014-04-01,10620
2014-04-01,43433
2014-04-01,59495
2014-04-01,6330
2014-04-01,48767
2014-04-01,26310
2014-04-01,19475
2014-04-01,74553
2014-04-01,1667
2014-04-01,21621
2014-04-01,6054
2014-04-01,36861
2014-04-01,101103
2014-04-01,29587
2014-04-01,3114
2014-04-01,31037
2014-04-01,46446
2014-04-01,16702
2014-04-01,32375
2014-04-01,5508
2014-05-01,43111
2014-05-01,7166
2014-05-01,24566
2014-05-01,17070
2014-05-01,120661
2014-05-01,31697
2014-05-01,14437
2014-05-01,3896
